,Pregunta,Consulta,Tabla,Valores,Categoría
9255,"Lista todos los contratos de obras, que se hayen en evaluación, en Alcaldía del Ayuntamiento de Villanueva de San Juan, por debajo de 109000€.",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Villanueva de San Juan' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.contract_folder_status = 'En evaluación' AND expedientes.total_amount < 109000;,expedientes,"{'tipo': 'Obras', 'estado': 'En evaluación', 'entidad': 'Alcaldía del Ayuntamiento de Villanueva de San Juan', 'cuantia': 109000}",entidad_tipo_estado_cuantia_inferior
9374,"Quiero ver todas las licitaciones de concesión de servicios para el Rectorado de la Universidad de Córdoba, anuncio previo, que no rebasen 359000€.",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad de Córdoba' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 359000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Rectorado de la Universidad de Córdoba', 'estado': 'Anuncio Previo', 'cuantia': 359000}",entidad_tipo_estado_cuantia_inferior
7157,Lista todos los contratos de la Alcaldia del Ayuntamiento de Moralzarzal que superen los 504000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldia del Ayuntamiento de Moralzarzal' AND expedientes.total_amount > 504000;,expedientes,"{'entidad': 'Alcaldia del Ayuntamiento de Moralzarzal', 'cuantia': 504000}",entidad_cuantia_superior
7341,"Muestra las licitaciones registradas para Paradores de Turismo de España, S.M.E., S.A. con un importe mayor a 906000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Paradores de Turismo de España, S.M.E., S.A.' AND expedientes.total_amount > 906000;",expedientes,"{'entidad': 'Paradores de Turismo de España, S.M.E., S.A.', 'cuantia': 906000}",entidad_cuantia_superior
7315,Filtra en Rectorado de la Universidad de Málaga las licitaciones con un importe mayor a 121000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad de Málaga' AND expedientes.total_amount > 121000;,expedientes,"{'entidad': 'Rectorado de la Universidad de Málaga', 'cuantia': 121000}",entidad_cuantia_superior
7234,"Contratos de la Presidencia de la Mancomunitat de les Valls por encima de 959000€, ¿qué opciones hay?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia de la Mancomunitat de les Valls' AND expedientes.total_amount > 959000;,expedientes,"{'entidad': 'Presidencia de la Mancomunitat de les Valls', 'cuantia': 959000}",entidad_cuantia_superior
7155,"Lista todos los contratos del Consejo de Administración de la Sociedad Municipal Aguas de Burgos, S.A. que superen los 722000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de la Sociedad Municipal Aguas de Burgos, S.A.' AND expedientes.total_amount > 722000;",expedientes,"{'entidad': 'Consejo de Administración de la Sociedad Municipal Aguas de Burgos, S.A.', 'cuantia': 722000}",entidad_cuantia_superior
7274,Quiero ver todas las licitaciones disponibles para la Junta de Gobierno del Ayuntamiento de Santa Pola por encima de 590000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Santa Pola' AND expedientes.total_amount > 590000;,expedientes,"{'entidad': 'Junta de Gobierno del Ayuntamiento de Santa Pola', 'cuantia': 590000}",entidad_cuantia_superior
7507,Lista todos los contratos de gestión de servicios públicos que lleva la Alcaldia del Ayuntamiento de Ontinyent y se encuentren adjudicados.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldia del Ayuntamiento de Ontinyent' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.contract_folder_status = 'Adjudicado';,expedientes,"{'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Alcaldia del Ayuntamiento de Ontinyent', 'estado': 'Adjudicado'}",entidad_tipo_estado
7691,"¿Cuántas licitaciones de concesión de servicios, resueltas, hay ahora mismo en Gerencia Calviá?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Gerencia Calviá' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'Resuelto';,expedientes,"{'tipo': 'Concesión de Servicios', 'estado': 'Resuelto', 'entidad': 'Gerencia Calviá'}",entidad_tipo_estado
7665,"Enseña las licitaciones en evaluación de patrimonial que correspondan a Consejo de Administración de la Sociedad Municipal Aguas de Burgos, S.A..","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de la Sociedad Municipal Aguas de Burgos, S.A.' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.contract_folder_status = 'En evaluación';",expedientes,"{'estado': 'En evaluación', 'tipo': 'Patrimonial', 'entidad': 'Consejo de Administración de la Sociedad Municipal Aguas de Burgos, S.A.'}",entidad_tipo_estado
7584,"Contratos de servicios, resueltos, que lleve la Jefatura de Asuntos Económicos de la Fuerza Terrestre, ¿me los muestras?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Jefatura de Asuntos Económicos de la Fuerza Terrestre' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.contract_folder_status = 'Resuelto';,expedientes,"{'tipo': 'Servicios', 'estado': 'Resuelto', 'entidad': 'Jefatura de Asuntos Económicos de la Fuerza Terrestre'}",entidad_tipo_estado
7505,Lista todos los contratos de patrimonial que lleva la Alcaldia del Ayuntamiento de Vallehermoso y se encuentren en evaluación.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldia del Ayuntamiento de Vallehermoso' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.contract_folder_status = 'En evaluación';,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Alcaldia del Ayuntamiento de Vallehermoso', 'estado': 'En evaluación'}",entidad_tipo_estado
7624,"Quiero ver todas las licitaciones de patrimonial de Consejo de Administración de Aguas de las Cuencas Mediterráneas, S.M.E., S.A. (ACUAMED) que estén ahora mismo publicados.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de Aguas de las Cuencas Mediterráneas, S.M.E., S.A. (ACUAMED)' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.contract_folder_status = 'Publicado';",expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Consejo de Administración de Aguas de las Cuencas Mediterráneas, S.M.E., S.A. (ACUAMED)', 'estado': 'Publicado'}",entidad_tipo_estado
7857,Lista todos los contratos de gestión de servicios públicos en Vicepresidente de la Comunitat Valenciana Auditorio de la Diputación de Alicante ADDA que no superen 53000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Vicepresidente de la Comunitat Valenciana Auditorio de la Diputación de Alicante ADDA' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.total_amount < 53000;,expedientes,"{'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Vicepresidente de la Comunitat Valenciana Auditorio de la Diputación de Alicante ADDA', 'cuantia': 53000}",entidad_tipo_cuantia_inferior
8041,¿Cuántas licitaciones de obras hay en Rectorado de la Universidad Politécnica de Madrid con cuantía inferior a 884000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad Politécnica de Madrid' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.total_amount < 884000;,expedientes,"{'tipo': 'Obras', 'entidad': 'Rectorado de la Universidad Politécnica de Madrid', 'cuantia': 884000}",entidad_tipo_cuantia_inferior
8015,Enseña las licitaciones de gestión de servicios públicos de la Alcaldía del Ayuntamiento de Jaén con importes inferiores a 63000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Jaén' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.total_amount < 63000;,expedientes,"{'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Alcaldía del Ayuntamiento de Jaén', 'cuantia': 63000}",entidad_tipo_cuantia_inferior
7934,¿Podrías indicarme todos los contratos de servicios en Junta de Gobierno del Ayuntamiento de Alcoy que no superen 899000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Alcoy' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.total_amount < 899000;,expedientes,"{'tipo': 'Servicios', 'entidad': 'Junta de Gobierno del Ayuntamiento de Alcoy', 'cuantia': 899000}",entidad_tipo_cuantia_inferior
7855,Lista todos los contratos de servicios en Dirección Gerencia de la Agencia del Agua de Castilla-La Mancha que no superen 347000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección Gerencia de la Agencia del Agua de Castilla-La Mancha' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.total_amount < 347000;,expedientes,"{'tipo': 'Servicios', 'entidad': 'Dirección Gerencia de la Agencia del Agua de Castilla-La Mancha', 'cuantia': 347000}",entidad_tipo_cuantia_inferior
7974,Quiero ver todas las licitaciones de servicios en Presidencia de la Diputación Provincial de Castellón que estén por debajo de 165000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia de la Diputación Provincial de Castellón' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.total_amount < 165000;,expedientes,"{'tipo': 'Servicios', 'entidad': 'Presidencia de la Diputación Provincial de Castellón', 'cuantia': 165000}",entidad_tipo_cuantia_inferior
8207,Lista todos los contratos de concesión de servicios en Junta de Gobierno local del Ayuntamiento de Villalbilla que superen 632000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno local del Ayuntamiento de Villalbilla' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount > 632000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Junta de Gobierno local del Ayuntamiento de Villalbilla', 'cuantia': 632000}",entidad_tipo_cuantia_superior
8391,¿Cuántas licitaciones de concesión de servicios hay en Dirección General de Medio Natural y Biodiversidad de la Junta de Comunidades de Castilla-La Mancha con cuantía superior a 109000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección General de Medio Natural y Biodiversidad de la Junta de Comunidades de Castilla-La Mancha' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount > 109000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Dirección General de Medio Natural y Biodiversidad de la Junta de Comunidades de Castilla-La Mancha', 'cuantia': 109000}",entidad_tipo_cuantia_superior
8365,Enseña las licitaciones de suministros en Rectorado de la Universidad de Granada con importes superiores a 72000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad de Granada' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.total_amount > 72000;,expedientes,"{'tipo': 'Suministros', 'entidad': 'Rectorado de la Universidad de Granada', 'cuantia': 72000}",entidad_tipo_cuantia_superior
8284,¿Podrías indicarme todos los contratos de tipo privado del Pleno del Ayuntamiento de Oña que superen 590000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Pleno del Ayuntamiento de Oña' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount > 590000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Pleno del Ayuntamiento de Oña', 'cuantia': 590000}",entidad_tipo_cuantia_superior
8205,Lista todos los contratos de tipo privado en Alcalde Presidente del Ayuntamiento de Sobradiel que superen 479000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcalde Presidente del Ayuntamiento de Sobradiel' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount > 479000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Alcalde Presidente del Ayuntamiento de Sobradiel', 'cuantia': 479000}",entidad_tipo_cuantia_superior
8324,Quiero ver todas las licitaciones de concesión de servicios en Jefatura de Intendencia de Asuntos Económicos Este por encima de 596000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Jefatura de Intendencia de Asuntos Económicos Este' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount > 596000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Jefatura de Intendencia de Asuntos Económicos Este', 'cuantia': 596000}",entidad_tipo_cuantia_superior
8557,"Lista los contratos de Junta de Gobierno Local del Ayuntamiento de Fuente de Piedra, con estado en evaluación, por debajo de 918000€.",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno Local del Ayuntamiento de Fuente de Piedra' AND expedientes.contract_folder_status = 'En evaluación' AND expedientes.total_amount < 918000;,expedientes,"{'entidad': 'Junta de Gobierno Local del Ayuntamiento de Fuente de Piedra', 'estado': 'En evaluación', 'cuantia': 918000}",entidad_estado_cuantia_inferior
8741,¿Cuántas licitaciones adjudicadas hay en Junta de Gobierno del Ayuntamiento de Almería con cuantía inferior a 306000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Almería' AND expedientes.contract_folder_status = 'Adjudicado' AND expedientes.total_amount < 306000;,expedientes,"{'estado': 'Adjudicado', 'entidad': 'Junta de Gobierno del Ayuntamiento de Almería', 'cuantia': 306000}",entidad_estado_cuantia_inferior
8715,"Enseña las licitaciones adjudicadas de Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara por debajo de 435000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara' AND expedientes.contract_folder_status = 'Adjudicado' AND expedientes.total_amount < 435000;",expedientes,"{'estado': 'Adjudicado', 'entidad': 'Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara', 'cuantia': 435000}",entidad_estado_cuantia_inferior
8634,"Contratos anuncio previo de Pleno del Ayuntamiento de Huesca, por debajo de 566000€, ¿qué opciones hay?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Pleno del Ayuntamiento de Huesca' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 566000;,expedientes,"{'estado': 'Anuncio Previo', 'entidad': 'Pleno del Ayuntamiento de Huesca', 'cuantia': 566000}",entidad_estado_cuantia_inferior
8555,"Lista los contratos de Junta de Gobierno de Redován, con estado adjudicado, por debajo de 165000€.",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno de Redován' AND expedientes.contract_folder_status = 'Adjudicado' AND expedientes.total_amount < 165000;,expedientes,"{'entidad': 'Junta de Gobierno de Redován', 'estado': 'Adjudicado', 'cuantia': 165000}",entidad_estado_cuantia_inferior
8674,"Quiero ver todas las licitaciones adjudicadas en Comisión Ejecutiva de Transportes Urbanos de Sevilla, SAM que no rebasen 757000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Comisión Ejecutiva de Transportes Urbanos de Sevilla, SAM' AND expedientes.contract_folder_status = 'Adjudicado' AND expedientes.total_amount < 757000;",expedientes,"{'estado': 'Adjudicado', 'entidad': 'Comisión Ejecutiva de Transportes Urbanos de Sevilla, SAM', 'cuantia': 757000}",entidad_estado_cuantia_inferior
8907,"Lista los contratos de Presidencia de la Autoridad Portuaria de Huelva, con estado en evaluación, por encima de 590000€.",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia de la Autoridad Portuaria de Huelva' AND expedientes.contract_folder_status = 'En evaluación' AND expedientes.total_amount > 590000;,expedientes,"{'entidad': 'Presidencia de la Autoridad Portuaria de Huelva', 'estado': 'En evaluación', 'cuantia': 590000}",entidad_estado_cuantia_superior
9091,¿Cuántas licitaciones en evaluación hay en Consejo de Administración-Comité de Inversiones de la Sociedad Estatal Correos y Telégrafos S.A con cuantía superior a 844000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración-Comité de Inversiones de la Sociedad Estatal Correos y Telégrafos S.A' AND expedientes.contract_folder_status = 'En evaluación' AND expedientes.total_amount > 844000;,expedientes,"{'estado': 'En evaluación', 'entidad': 'Consejo de Administración-Comité de Inversiones de la Sociedad Estatal Correos y Telégrafos S.A', 'cuantia': 844000}",entidad_estado_cuantia_superior
9065,"Enseña las licitaciones adjudicado de Gerencia umivale Activa, Mutua Colaboradora con la Seguridad Social número por encima de 681000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Gerencia umivale Activa, Mutua Colaboradora con la Seguridad Social número' AND expedientes.contract_folder_status = 'Adjudicado' AND expedientes.total_amount > 681000;",expedientes,"{'estado': 'Adjudicado', 'entidad': 'Gerencia umivale Activa, Mutua Colaboradora con la Seguridad Social número', 'cuantia': 681000}",entidad_estado_cuantia_superior
8984,"Contratos en anuncio previo de Pleno del Ayuntamiento de Navia, por encima de 459000€, ¿qué opciones hay?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Pleno del Ayuntamiento de Navia' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount > 459000;,expedientes,"{'estado': 'Anuncio Previo', 'entidad': 'Pleno del Ayuntamiento de Navia', 'cuantia': 459000}",entidad_estado_cuantia_superior
8905,"Lista los contratos de Rectorado de la Universidad Autónoma de Madrid, con estado en evaluación, por encima de 832000€.",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad Autónoma de Madrid' AND expedientes.contract_folder_status = 'En evaluación' AND expedientes.total_amount > 832000;,expedientes,"{'entidad': 'Rectorado de la Universidad Autónoma de Madrid', 'estado': 'En evaluación', 'cuantia': 832000}",entidad_estado_cuantia_superior
9024,Quiero ver todas las licitaciones resueltas en Concejalía Delegada de Contratación del Ayuntamiento de Puerto del Rosario que sobrepasen 82000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Concejalía Delegada de Contratación del Ayuntamiento de Puerto del Rosario' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount > 82000;,expedientes,"{'estado': 'Resuelto', 'entidad': 'Concejalía Delegada de Contratación del Ayuntamiento de Puerto del Rosario', 'cuantia': 82000}",entidad_estado_cuantia_superior
9607,"Lista todos los contratos de concesión de servicios, en evaluación, en Alcaldía del Ayuntamiento de Alhama de Murcia, por encima de 629000€.",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Alhama de Murcia' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'En evaluación' AND expedientes.total_amount > 629000;,expedientes,"{'tipo': 'Concesión de Servicios', 'estado': 'En evaluación', 'entidad': 'Alcaldía del Ayuntamiento de Alhama de Murcia', 'cuantia': 629000}",entidad_tipo_estado_cuantia_superior
9791,"¿Cuántas licitaciones de tipo privado, en evaluación, hay en Comisión Ejecutiva de Transportes Urbanos de Sevilla, SAM con cuantía superior a 842000€?","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Comisión Ejecutiva de Transportes Urbanos de Sevilla, SAM' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.contract_folder_status = 'En evaluación' AND expedientes.total_amount > 842000;",expedientes,"{'tipo': 'Privado', 'estado': 'En evaluación', 'entidad': 'Comisión Ejecutiva de Transportes Urbanos de Sevilla, SAM', 'cuantia': 842000}",entidad_tipo_estado_cuantia_superior
9765,Enseña las licitaciones publicadas de servicios en la Alcaldía del Ayuntamiento de Oliva de la Frontera por encima de 597000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Oliva de la Frontera' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.contract_folder_status = 'Publicado' AND expedientes.total_amount > 597000;,expedientes,"{'estado': 'Publicado', 'tipo': 'Servicios', 'entidad': 'Alcaldía del Ayuntamiento de Oliva de la Frontera', 'cuantia': 597000}",entidad_tipo_estado_cuantia_superior
9684,"Contratos de servicios, anuncio previo, de la Alcaldía del Ayuntamiento de Montoro, cuyo importe esté por encima de 573000€, ¿qué opciones hay?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Montoro' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount > 573000;,expedientes,"{'tipo': 'Servicios', 'estado': 'Anuncio Previo', 'entidad': 'Alcaldía del Ayuntamiento de Montoro', 'cuantia': 573000}",entidad_tipo_estado_cuantia_superior
9605,"Lista todos los contratos de servicios, publicados, de la Jefatura de Intendencia de Asuntos Económicos Este, por encima de 353000€.",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Jefatura de Intendencia de Asuntos Económicos Este' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.contract_folder_status = 'Publicado' AND expedientes.total_amount > 353000;,expedientes,"{'tipo': 'Servicios', 'estado': 'Publicado', 'entidad': 'Jefatura de Intendencia de Asuntos Económicos Este', 'cuantia': 353000}",entidad_tipo_estado_cuantia_superior
9724,"Quiero ver todas las licitaciones de servicios en Consejo de Administración de la Sociedad Mercantil Estatal de gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa), publicadas, que rebasen 722000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa)' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.contract_folder_status = 'Publicado' AND expedientes.total_amount > 722000;",expedientes,"{'tipo': 'Servicios', 'entidad': 'Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa)', 'estado': 'Publicado', 'cuantia': 722000}",entidad_tipo_estado_cuantia_superior
