Pregunta,Consulta,Tabla,Valores,Categoría
¿Existen contratos de Servicios en Alcaldía del Ayuntamiento de Navalmoral de la Mata con estado Anuncio Previo y cuantía inferior a 109000€ en este momento?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Navalmoral de la Mata' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 109000;,expedientes,"{'tipo': 'Servicios', 'entidad': 'Alcaldía del Ayuntamiento de Navalmoral de la Mata', 'estado': 'Anuncio Previo', 'cuantia': 109000}",entidad_tipo_estado_cuantia_inferior
"Muestra los expedientes de Concesión de Servicios en Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara, con estado Publicado, y un coste inferior a 597000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'Publicado' AND expedientes.total_amount < 597000;",expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara', 'estado': 'Publicado', 'cuantia': 597000}",entidad_tipo_estado_cuantia_inferior
Muéstrame todas las licitaciones de Gerencia del Area de Atención Integrada de Guadalajara que excedan 24000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Gerencia del Area de Atención Integrada de Guadalajara' AND expedientes.total_amount > 24000;,expedientes,"{'entidad': 'Gerencia del Area de Atención Integrada de Guadalajara', 'cuantia': 24000}",entidad_cuantia_superior
¿Qué expedientes están registrados en Rectorado de la Universidad de les Illes Balears con cuantía mayor a 63000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad de les Illes Balears' AND expedientes.total_amount > 63000;,expedientes,"{'entidad': 'Rectorado de la Universidad de les Illes Balears', 'cuantia': 63000}",entidad_cuantia_superior
Muéstrame todas las licitaciones de Junta de Gobierno Local de Ayuntamiento de Puente Genil que excedan 347000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno Local de Ayuntamiento de Puente Genil' AND expedientes.total_amount > 347000;,expedientes,"{'entidad': 'Junta de Gobierno Local de Ayuntamiento de Puente Genil', 'cuantia': 347000}",entidad_cuantia_superior
Enseña las licitaciones vigentes en Presidencia de la Mancomunitat de les Valls con cuantía superior a 206000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia de la Mancomunitat de les Valls' AND expedientes.total_amount > 206000;,expedientes,"{'entidad': 'Presidencia de la Mancomunitat de les Valls', 'cuantia': 206000}",entidad_cuantia_superior
Filtra en Presidencia de la Autoridad Portuaria de Ceuta los contratos con un importe mayor a 82000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia de la Autoridad Portuaria de Ceuta' AND expedientes.total_amount > 82000;,expedientes,"{'entidad': 'Presidencia de la Autoridad Portuaria de Ceuta', 'cuantia': 82000}",entidad_cuantia_superior
Enseña los contratos vigentes en Presidencia de la Diputación Provincial de Pontevedra con cuantía superior a 629000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia de la Diputación Provincial de Pontevedra' AND expedientes.total_amount > 629000;,expedientes,"{'entidad': 'Presidencia de la Diputación Provincial de Pontevedra', 'cuantia': 629000}",entidad_cuantia_superior
"Solicito información de expedientes en Consejo de Administración de la Sociedad de Gestión de Activos procedentes de la Reestructuración Bancaria, S.A cuyo coste exceda 306000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de la Sociedad de Gestión de Activos procedentes de la Reestructuración Bancaria, S.A' AND expedientes.total_amount > 306000;",expedientes,"{'entidad': 'Consejo de Administración de la Sociedad de Gestión de Activos procedentes de la Reestructuración Bancaria, S.A', 'cuantia': 306000}",entidad_cuantia_superior
Muéstrame todas las licitaciones de Obras en Alcaldía del Ayuntamiento de El Molar que estén Adjudicado.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de El Molar' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.contract_folder_status = 'Adjudicado';,expedientes,"{'tipo': 'Obras', 'entidad': 'Alcaldía del Ayuntamiento de El Molar', 'estado': 'Adjudicado'}",entidad_tipo_estado
"¿Qué expedientes de Obras aparecen como Adjudicado en Consejo de Administración de ARMUVISSA I, S.A.?","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de ARMUVISSA I, S.A.' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.contract_folder_status = 'Adjudicado';",expedientes,"{'tipo': 'Obras', 'estado': 'Adjudicado', 'entidad': 'Consejo de Administración de ARMUVISSA I, S.A.'}",entidad_tipo_estado
Muéstrame todas las licitaciones de Concesión de Servicios en Gerencia de Ferrocarrils de la Generalitat Valenciana que estén Resuelto.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Gerencia de Ferrocarrils de la Generalitat Valenciana' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'Resuelto';,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Gerencia de Ferrocarrils de la Generalitat Valenciana', 'estado': 'Resuelto'}",entidad_tipo_estado
"¿Existen licitaciones de Suministros en Dirección General de la Mutual Midat Cyclops, Mutua Colaboradora con la Seguridad Social, nº con estado Adjudicado actualmente?","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección General de la Mutual Midat Cyclops, Mutua Colaboradora con la Seguridad Social, nº' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.contract_folder_status = 'Adjudicado';",expedientes,"{'tipo': 'Suministros', 'entidad': 'Dirección General de la Mutual Midat Cyclops, Mutua Colaboradora con la Seguridad Social, nº', 'estado': 'Adjudicado'}",entidad_tipo_estado
Enseña los contratos Resuelto de Patrimonial que correspondan a Junta de Gobierno de Redován.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno de Redován' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.contract_folder_status = 'Resuelto';,expedientes,"{'estado': 'Resuelto', 'tipo': 'Patrimonial', 'entidad': 'Junta de Gobierno de Redován'}",entidad_tipo_estado
¿Existen contratos de Concesión de Servicios en Alcaldía del Ayuntamiento de Avilés con estado Publicado actualmente?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Avilés' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'Publicado';,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Alcaldía del Ayuntamiento de Avilés', 'estado': 'Publicado'}",entidad_tipo_estado
"Muestra los expedientes de Obras en Televisión Pública de Canarias, S.A. cuyo estado sea En evaluación.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Televisión Pública de Canarias, S.A.' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.contract_folder_status = 'En evaluación';",expedientes,"{'tipo': 'Obras', 'entidad': 'Televisión Pública de Canarias, S.A.', 'estado': 'En evaluación'}",entidad_tipo_estado
"Muéstrame todas las licitaciones de Concesión de Servicios en Consejo de Administración de la Entidad Pública Empresarial Local Balsas de Tenerife, BALTEN del Cabildo Insular de Tenerife que no superen 53000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de la Entidad Pública Empresarial Local Balsas de Tenerife, BALTEN del Cabildo Insular de Tenerife' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount < 53000;",expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Consejo de Administración de la Entidad Pública Empresarial Local Balsas de Tenerife, BALTEN del Cabildo Insular de Tenerife', 'cuantia': 53000}",entidad_tipo_cuantia_inferior
¿Qué expedientes de Concesión de Servicios hay en Dirección del Museo Nacional del Prado con cuantía menor a 380000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección del Museo Nacional del Prado' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount < 380000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Dirección del Museo Nacional del Prado', 'cuantia': 380000}",entidad_tipo_cuantia_inferior
Muéstrame todas las licitaciones de Privado en Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID) que no superen 221000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID)' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount < 221000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Dirección de la Agencia Española de Cooperación Internacional para el Desarrollo (AECID)', 'cuantia': 221000}",entidad_tipo_cuantia_inferior
¿Existen licitaciones de Suministros en Rectorado de la Universidad de Granada con cuantía menor a 460000€ en la actualidad?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad de Granada' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.total_amount < 460000;,expedientes,"{'tipo': 'Suministros', 'entidad': 'Rectorado de la Universidad de Granada', 'cuantia': 460000}",entidad_tipo_cuantia_inferior
Enseña los contratos de Suministros en Gerencia de Ferrocarrils de la Generalitat Valenciana con importes inferiores a 72000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Gerencia de Ferrocarrils de la Generalitat Valenciana' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.total_amount < 72000;,expedientes,"{'tipo': 'Suministros', 'entidad': 'Gerencia de Ferrocarrils de la Generalitat Valenciana', 'cuantia': 72000}",entidad_tipo_cuantia_inferior
¿Existen contratos de Obras en Pleno del Ayuntamiento de Oña con cuantía menor a 918000€ en la actualidad?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Pleno del Ayuntamiento de Oña' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.total_amount < 918000;,expedientes,"{'tipo': 'Obras', 'entidad': 'Pleno del Ayuntamiento de Oña', 'cuantia': 918000}",entidad_tipo_cuantia_inferior
Muestra los expedientes de Gestión de Servicios Públicos en Departamento de Salud Alcoy. Dirección Económica-Gerencia que se sitúen por debajo de 597000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Departamento de Salud Alcoy. Dirección Económica-Gerencia' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.total_amount < 597000;,expedientes,"{'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Departamento de Salud Alcoy. Dirección Económica-Gerencia', 'cuantia': 597000}",entidad_tipo_cuantia_inferior
Muéstrame todas las licitaciones de Concesión de Servicios en Dirección Económico Financiero de la Dirección General de Infraestructura. MDE que excedan 884000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección Económico Financiero de la Dirección General de Infraestructura. MDE' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.total_amount > 884000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Dirección Económico Financiero de la Dirección General de Infraestructura. MDE', 'cuantia': 884000}",entidad_tipo_cuantia_superior
¿Qué expedientes de Servicios hay en Junta de Gobierno del Ayuntamiento de San Agustín del Guadalix con cuantía mayor a 844000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de San Agustín del Guadalix' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.total_amount > 844000;,expedientes,"{'tipo': 'Servicios', 'entidad': 'Junta de Gobierno del Ayuntamiento de San Agustín del Guadalix', 'cuantia': 844000}",entidad_tipo_cuantia_superior
Muéstrame todas las licitaciones de Patrimonial en Instituto Cántabro de Estadística que excedan 652000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Instituto Cántabro de Estadística' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount > 652000;,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Instituto Cántabro de Estadística', 'cuantia': 652000}",entidad_tipo_cuantia_superior
¿Existen licitaciones de Suministros en Rectorado de la Universidad de les Illes Balears con cuantía mayor a 520000€ en la actualidad?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad de les Illes Balears' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.total_amount > 520000;,expedientes,"{'tipo': 'Suministros', 'entidad': 'Rectorado de la Universidad de les Illes Balears', 'cuantia': 520000}",entidad_tipo_cuantia_superior
Enseña los contratos de Patrimonial en Director Gerente de Mutua Intercomarcal MATEPSS Nº con importes superiores a 53000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Director Gerente de Mutua Intercomarcal MATEPSS Nº' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.total_amount > 53000;,expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Director Gerente de Mutua Intercomarcal MATEPSS Nº', 'cuantia': 53000}",entidad_tipo_cuantia_superior
¿Existen contratos de Suministros en Alcaldía del Ayuntamiento de Oliva de la Frontera con cuantía mayor a 55000€ en la actualidad?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Oliva de la Frontera' AND expedientes.procurement_project_type_code = 'Suministros' AND expedientes.total_amount > 55000;,expedientes,"{'tipo': 'Suministros', 'entidad': 'Alcaldía del Ayuntamiento de Oliva de la Frontera', 'cuantia': 55000}",entidad_tipo_cuantia_superior
Muestra los expedientes de Privado en Dirección del Centro Penitenciario de Soria que se sitúen por encima de 167000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección del Centro Penitenciario de Soria' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.total_amount > 167000;,expedientes,"{'tipo': 'Privado', 'entidad': 'Dirección del Centro Penitenciario de Soria', 'cuantia': 167000}",entidad_tipo_cuantia_superior
Muéstrame todas las licitaciones de Presidencia del Patronato Municipal de Cultura de Fuenlabrada que estén Resuelto y no superen 618000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia del Patronato Municipal de Cultura de Fuenlabrada' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount < 618000;,expedientes,"{'entidad': 'Presidencia del Patronato Municipal de Cultura de Fuenlabrada', 'estado': 'Resuelto', 'cuantia': 618000}",entidad_estado_cuantia_inferior
¿Qué expedientes Adjudicado hay en Rectorado de la Universidad de Almería con cuantía menor a 520000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad de Almería' AND expedientes.contract_folder_status = 'Adjudicado' AND expedientes.total_amount < 520000;,expedientes,"{'estado': 'Adjudicado', 'entidad': 'Rectorado de la Universidad de Almería', 'cuantia': 520000}",entidad_estado_cuantia_inferior
Muéstrame todas las licitaciones de Dirección General de Medio Natural y Biodiversidad de la Junta de Comunidades de Castilla-La Mancha que estén Anuncio Previo y no superen 906000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección General de Medio Natural y Biodiversidad de la Junta de Comunidades de Castilla-La Mancha' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 906000;,expedientes,"{'entidad': 'Dirección General de Medio Natural y Biodiversidad de la Junta de Comunidades de Castilla-La Mancha', 'estado': 'Anuncio Previo', 'cuantia': 906000}",entidad_estado_cuantia_inferior
"¿Existen licitaciones de Junta de Gobierno del Ayuntamiento de Torrelodones, con estado Anuncio Previo, cuyo coste sea menor a 572000€?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Torrelodones' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 572000;,expedientes,"{'entidad': 'Junta de Gobierno del Ayuntamiento de Torrelodones', 'estado': 'Anuncio Previo', 'cuantia': 572000}",entidad_estado_cuantia_inferior
Enseña los contratos Anuncio Previo de Rectorado de la Universidad de les Illes Balears por debajo de 655000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Rectorado de la Universidad de les Illes Balears' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 655000;,expedientes,"{'estado': 'Anuncio Previo', 'entidad': 'Rectorado de la Universidad de les Illes Balears', 'cuantia': 655000}",entidad_estado_cuantia_inferior
"¿Existen contratos de CONSEJO DE ADMINISTRACION DE LA EMPRESA PUBLICA DE APARCAMIENTOS Y SERVICIOS SA (EPASSA), con estado Publicado, cuyo coste sea menor a 818000€?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'CONSEJO DE ADMINISTRACION DE LA EMPRESA PUBLICA DE APARCAMIENTOS Y SERVICIOS SA (EPASSA)' AND expedientes.contract_folder_status = 'Publicado' AND expedientes.total_amount < 818000;,expedientes,"{'entidad': 'CONSEJO DE ADMINISTRACION DE LA EMPRESA PUBLICA DE APARCAMIENTOS Y SERVICIOS SA (EPASSA)', 'estado': 'Publicado', 'cuantia': 818000}",entidad_estado_cuantia_inferior
"Muestra los expedientes de Concejalía De Cultura, Juventud, Fiestas, Comunicación y Relaciones Institucionales, Participación Ciudadana y Turismo del Ayuntamiento de Granadilla de Abona, Resuelto, con un presupuesto inferior a 918000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Concejalía De Cultura, Juventud, Fiestas, Comunicación y Relaciones Institucionales, Participación Ciudadana y Turismo del Ayuntamiento de Granadilla de Abona' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount < 918000;",expedientes,"{'entidad': 'Concejalía De Cultura, Juventud, Fiestas, Comunicación y Relaciones Institucionales, Participación Ciudadana y Turismo del Ayuntamiento de Granadilla de Abona', 'estado': 'Resuelto', 'cuantia': 918000}",entidad_estado_cuantia_inferior
Muéstrame todas las licitaciones de Junta de Gobierno Local del Concello de Guitiriz que estén En evaluación y excedan 33000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno Local del Concello de Guitiriz' AND expedientes.contract_folder_status = 'En evaluación' AND expedientes.total_amount > 33000;,expedientes,"{'entidad': 'Junta de Gobierno Local del Concello de Guitiriz', 'estado': 'En evaluación', 'cuantia': 33000}",entidad_estado_cuantia_superior
¿Qué expedientes Publicado hay en Dirección del Consorcio Universitario del Centro Asociado a la UNED en Cantabria con cuantía mayor a 474000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Dirección del Consorcio Universitario del Centro Asociado a la UNED en Cantabria' AND expedientes.contract_folder_status = 'Publicado' AND expedientes.total_amount > 474000;,expedientes,"{'estado': 'Publicado', 'entidad': 'Dirección del Consorcio Universitario del Centro Asociado a la UNED en Cantabria', 'cuantia': 474000}",entidad_estado_cuantia_superior
Muéstrame todas las licitaciones de Alcaldia del Ayuntamiento de Lopera que estén Adjudicado y excedan 478000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldia del Ayuntamiento de Lopera' AND expedientes.contract_folder_status = 'Adjudicado' AND expedientes.total_amount > 478000;,expedientes,"{'entidad': 'Alcaldia del Ayuntamiento de Lopera', 'estado': 'Adjudicado', 'cuantia': 478000}",entidad_estado_cuantia_superior
"¿Existen licitaciones de Vicepresidencia del Consejo de Administración de la Entidad Pública de Saneamiento de Aguas Residuales de la Comunidad Valenciana, con estado Resuelto, cuyo coste sea mayor a 63000€?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Vicepresidencia del Consejo de Administración de la Entidad Pública de Saneamiento de Aguas Residuales de la Comunidad Valenciana' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount > 63000;,expedientes,"{'entidad': 'Vicepresidencia del Consejo de Administración de la Entidad Pública de Saneamiento de Aguas Residuales de la Comunidad Valenciana', 'estado': 'Resuelto', 'cuantia': 63000}",entidad_estado_cuantia_superior
Enseña los contratos Resuelto de Alcaldia del Ayuntamiento de Vallehermoso por encima de 221000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldia del Ayuntamiento de Vallehermoso' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount > 221000;,expedientes,"{'estado': 'Resuelto', 'entidad': 'Alcaldia del Ayuntamiento de Vallehermoso', 'cuantia': 221000}",entidad_estado_cuantia_superior
