Pregunta,Consulta,Tabla,Valores,Categoría
Lista todos los expedientes relacionados con Granada.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Granada';,expedientes,{'region': 'Granada'},region
¿Cuáles son los contratos de Castellón/Castelló?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Castellón/Castelló';,expedientes,{'region': 'Castellón/Castelló'},region
Filtra por Comunidad Foral de Navarra todos los contratos disponibles.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Comunidad Foral de Navarra';,expedientes,{'region': 'Comunidad Foral de Navarra'},region
Muestra los expedientes registrados en Burgos.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Burgos';,expedientes,{'region': 'Burgos'},region
Dame la lista de contratos para Región de Murcia.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Región de Murcia';,expedientes,{'region': 'Región de Murcia'},region
Filtra los expedientes por Este,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Este';,expedientes,{'region': 'Este'},region
¿Qué expedientes están registrados en Guadalajara?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Guadalajara';,expedientes,{'region': 'Guadalajara'},region
Lista todos los expedientes relacionados con Murcia.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Murcia';,expedientes,{'region': 'Murcia'},region
¿Podrías mostrarme las licitaciones abiertas en Comunidad Foral de Navarra?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Comunidad Foral de Navarra';,expedientes,{'region': 'Comunidad Foral de Navarra'},region
¿Qué contratos existen ahora mismo para la región de Comunidad de Madrid?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Comunidad de Madrid';,expedientes,{'region': 'Comunidad de Madrid'},region
Muestra los contratos registrados en Lugo.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Lugo';,expedientes,{'region': 'Lugo'},region
Muéstrame todos los expedientes de España.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'España';,expedientes,{'region': 'España'},region
¿Cuáles son los contratos de la región de Aragón?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Aragón';,expedientes,{'region': 'Aragón'},region
Busco todos los contratos en Granada.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Granada';,expedientes,{'region': 'Granada'},region
Enseña las licitaciones en Almería.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Almería';,expedientes,{'region': 'Almería'},region
Enseña los expedientes en Zamora.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Zamora';,expedientes,{'region': 'Zamora'},region
Lista todos los contratos relacionados con Castilla y León.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Castilla y León';,expedientes,{'region': 'Castilla y León'},region
"Estoy buscando los expedientes de Mallorca, ¿me los puedes mostrar?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Mallorca';,expedientes,{'region': 'Mallorca'},region
Solicito información de expedientes en Ourense.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Ourense';,expedientes,{'region': 'Ourense'},region
Busco todos los contratos en Cataluña.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Cataluña';,expedientes,{'region': 'Cataluña'},region
¿Cuáles son los expedientes de Cataluña?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Cataluña';,expedientes,{'region': 'Cataluña'},region
Muéstrame todos los expedientes de Toledo.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Toledo';,expedientes,{'region': 'Toledo'},region
"Licitaciones publicadas en Granada, ¿puedes listarlas?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Granada';,expedientes,{'region': 'Granada'},region
Dame la lista de contratos para Navarra.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Navarra';,expedientes,{'region': 'Navarra'},region
¿Qué expedientes están registrados en La Palma?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'La Palma';,expedientes,{'region': 'La Palma'},region
Filtra por Sevilla todos los contratos disponibles.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Sevilla';,expedientes,{'region': 'Sevilla'},region
Necesito consultar todos los expedientes de Alicante/Alacant.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Alicante/Alacant';,expedientes,{'region': 'Alicante/Alacant'},region
Enséñame los expedientes que corresponden a Soria.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Soria';,expedientes,{'region': 'Soria'},region
¿Cuáles son los expedientes en la región de Sur?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Sur';,expedientes,{'region': 'Sur'},region
Expedientes región Fuerteventura,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Fuerteventura';,expedientes,{'region': 'Fuerteventura'},region
¿Qué contratos existen ahora mismo para la región de Almería?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Almería';,expedientes,{'region': 'Almería'},region
Enseña los contratos en Jaén.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Jaén';,expedientes,{'region': 'Jaén'},region
¿Podrías mostrarme los contratos en Menorca?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Menorca';,expedientes,{'region': 'Menorca'},region
Quiero ver todos los contratos de Murcia.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Murcia';,expedientes,{'region': 'Murcia'},region
Muéstrame todos los contratos de Comunidad de Madrid.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Comunidad de Madrid';,expedientes,{'region': 'Comunidad de Madrid'},region
¿Podrías mostrarme las licitaciones abiertas en Lleida?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Lleida';,expedientes,{'region': 'Lleida'},region
"Contratos en Fuerteventura, ¿puedes listarlos?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Fuerteventura';,expedientes,{'region': 'Fuerteventura'},region
Dame la lista de licitaciones para Teruel.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Teruel';,expedientes,{'region': 'Teruel'},region
Enseña los expedientes en Castellón/Castelló.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Castellón/Castelló';,expedientes,{'region': 'Castellón/Castelló'},region
Licitaciones región Extremadura,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Extremadura';,expedientes,{'region': 'Extremadura'},region
¿Cuáles son los contratos de Este?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Este';,expedientes,{'region': 'Este'},region
"Licitaciones publicadas en Galicia, ¿puedes listarlas?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Galicia';,expedientes,{'region': 'Galicia'},region
Necesito consultar todas las licitaciones Noroeste.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Noroeste';,expedientes,{'region': 'Noroeste'},region
Solicito información de contratos en Cáceres.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Cáceres';,expedientes,{'region': 'Cáceres'},region
"Expedientes en Castilla-La Mancha, ¿puedes listarlos?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Castilla-La Mancha';,expedientes,{'region': 'Castilla-La Mancha'},region
Filtra los expedientes por Tenerife,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Tenerife';,expedientes,{'region': 'Tenerife'},region
¿Cuáles son las licitaciones de Sur?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Sur';,expedientes,{'region': 'Sur'},region
Filtra por Toledo todos los contratos disponibles.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Toledo';,expedientes,{'region': 'Toledo'},region
Filtra por Murcia todos los expedientes disponibles.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif JOIN regiones ON entidades.party_subentity_code = regiones.country_subentity_code WHERE regiones.country_subentity_name = 'Murcia';,expedientes,{'region': 'Murcia'},region
"Muéstrame todas las licitaciones de Patrimonial en Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa) que estén Resuelto y no superen 597000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa)' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount < 597000;",expedientes,"{'tipo': 'Patrimonial', 'entidad': 'Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa)', 'estado': 'Resuelto', 'cuantia': 597000}",entidad_tipo_estado_cuantia_inferior
¿Qué expedientes de Obras están registrados en Alcaldía del Ayuntamiento de Cuevas del Becerro con estado Anuncio Previo y presupuestos menores a 24000€?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Cuevas del Becerro' AND expedientes.procurement_project_type_code = 'Obras' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 24000;,expedientes,"{'tipo': 'Obras', 'entidad': 'Alcaldía del Ayuntamiento de Cuevas del Becerro', 'estado': 'Anuncio Previo', 'cuantia': 24000}",entidad_tipo_estado_cuantia_inferior
Muéstrame todas las licitaciones de Concesión de Servicios en Alcaldía del Ayuntamiento de Santillana del Mar que estén Resuelto y no superen 864000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Santillana del Mar' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount < 864000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Alcaldía del Ayuntamiento de Santillana del Mar', 'estado': 'Resuelto', 'cuantia': 864000}",entidad_tipo_estado_cuantia_inferior
Busco todas las licitaciones Adjudicado de Gestión de Servicios Públicos en Consejo de Gobierno Insular del Cabildo Insular de Tenerife por debajo de 757000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Gobierno Insular del Cabildo Insular de Tenerife' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.contract_folder_status = 'Adjudicado' AND expedientes.total_amount < 757000;,expedientes,"{'estado': 'Adjudicado', 'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Consejo de Gobierno Insular del Cabildo Insular de Tenerife', 'cuantia': 757000}",entidad_tipo_estado_cuantia_inferior
"Enseña los contratos Adjudicado de Concesión de Servicios en Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa) por debajo de 590000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa)' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'Adjudicado' AND expedientes.total_amount < 590000;",expedientes,"{'estado': 'Adjudicado', 'tipo': 'Concesión de Servicios', 'entidad': 'Consejo de Administración de la Sociedad Mercantil Estatal de Gestión Inmobiliaria de Patrimonio, M.P.S.A. (Segipsa)', 'cuantia': 590000}",entidad_tipo_estado_cuantia_inferior
¿Existen contratos de Servicios en Alcaldía del Ayuntamiento de Navalmoral de la Mata con estado Anuncio Previo y cuantía inferior a 109000€ en este momento?,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Alcaldía del Ayuntamiento de Navalmoral de la Mata' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 109000;,expedientes,"{'tipo': 'Servicios', 'entidad': 'Alcaldía del Ayuntamiento de Navalmoral de la Mata', 'estado': 'Anuncio Previo', 'cuantia': 109000}",entidad_tipo_estado_cuantia_inferior
"Muestra los expedientes de Concesión de Servicios en Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara, con estado Publicado, y un coste inferior a 597000€.","SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'Publicado' AND expedientes.total_amount < 597000;",expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Presidencia del Consorcio para el Servicio de Prevención Extinción de Incendios, Protección Civil y Salvamento de la Provincia de Guadalajara', 'estado': 'Publicado', 'cuantia': 597000}",entidad_tipo_estado_cuantia_inferior
"¿Podrías indicarme todos los expedientes de Privado, Resuelto, en Junta de Gobierno del Ayuntamiento de Vélez-Málaga, que no superen 167000€?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Vélez-Málaga' AND expedientes.procurement_project_type_code = 'Privado' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount < 167000;,expedientes,"{'tipo': 'Privado', 'estado': 'Resuelto', 'entidad': 'Junta de Gobierno del Ayuntamiento de Vélez-Málaga', 'cuantia': 167000}",entidad_tipo_estado_cuantia_inferior
"Filtra en Director del Instituto Canario de Estadística (ISTAC) todas las licitaciones de Servicios, Anuncio Previo, sin sobrepasar 490000€.",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Director del Instituto Canario de Estadística (ISTAC)' AND expedientes.procurement_project_type_code = 'Servicios' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 490000;,expedientes,"{'entidad': 'Director del Instituto Canario de Estadística (ISTAC)', 'tipo': 'Servicios', 'estado': 'Anuncio Previo', 'cuantia': 490000}",entidad_tipo_estado_cuantia_inferior
"Quiero ver todos los expedientes de Gestión de Servicios Públicos en Junta de Gobierno Local del Ayuntamiento de Fuente de Piedra, Resuelto, que no rebasen 987000€.",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno Local del Ayuntamiento de Fuente de Piedra' AND expedientes.procurement_project_type_code = 'Gestión de Servicios Públicos' AND expedientes.contract_folder_status = 'Resuelto' AND expedientes.total_amount < 987000;,expedientes,"{'tipo': 'Gestión de Servicios Públicos', 'entidad': 'Junta de Gobierno Local del Ayuntamiento de Fuente de Piedra', 'estado': 'Resuelto', 'cuantia': 987000}",entidad_tipo_estado_cuantia_inferior
Muéstrame todas las licitaciones de Concesión de Servicios en Servicio de Salud de las Illes Balears que estén Anuncio Previo y no superen 504000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Servicio de Salud de las Illes Balears' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 504000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Servicio de Salud de las Illes Balears', 'estado': 'Anuncio Previo', 'cuantia': 504000}",entidad_tipo_estado_cuantia_inferior
Busco expedientes de Concesión de Servicios en Junta de Gobierno del Ayuntamiento de Alcorcón que estén En evaluación y no excedan 558000€.,SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Alcorcón' AND expedientes.procurement_project_type_code = 'Concesión de Servicios' AND expedientes.contract_folder_status = 'En evaluación' AND expedientes.total_amount < 558000;,expedientes,"{'tipo': 'Concesión de Servicios', 'entidad': 'Junta de Gobierno del Ayuntamiento de Alcorcón', 'estado': 'En evaluación', 'cuantia': 558000}",entidad_tipo_estado_cuantia_inferior
"Expedientes de Patrimonial, Anuncio Previo, en Junta de Gobierno del Ayuntamiento de Alcoy, cuyo importe esté por debajo de 435000€, ¿qué opciones hay?",SELECT * FROM expedientes JOIN entidades ON expedientes.party_nif = entidades.nif WHERE entidades.name = 'Junta de Gobierno del Ayuntamiento de Alcoy' AND expedientes.procurement_project_type_code = 'Patrimonial' AND expedientes.contract_folder_status = 'Anuncio Previo' AND expedientes.total_amount < 435000;,expedientes,"{'tipo': 'Patrimonial', 'estado': 'Anuncio Previo', 'entidad': 'Junta de Gobierno del Ayuntamiento de Alcoy', 'cuantia': 435000}",entidad_tipo_estado_cuantia_inferior
